# Constructed from biom file
#OTU ID	NuBotR1	NuBotR2	NuBotR3	NuTopR1	NuTopR2	NuTopR3	NyBotR1	NyBotR2	NyBotR3	NyTopR1	NyTopR2	NyTopR3
38f737ca0ecdd9e3268960ee81258089	0.0	740.0	264.0	0.0	0.0	0.0	0.0	0.0	138.0	0.0	0.0	0.0
3242345046458bb6e072cdb51ed01cd2	141.0	34.0	0.0	123.0	129.0	68.0	59.0	72.0	19.0	168.0	115.0	212.0
f91d9a8b4b8ec43280ff69bf44bf246b	0.0	591.0	107.0	0.0	0.0	0.0	0.0	0.0	439.0	0.0	0.0	0.0
4c2f52d07560ab846265da2870d7d6ca	0.0	15.0	0.0	79.0	99.0	65.0	0.0	0.0	0.0	511.0	281.0	80.0
be0a57911437fa56a35ffd30b74bfc03	261.0	12.0	5.0	165.0	53.0	171.0	202.0	73.0	0.0	7.0	28.0	103.0
8b43dd992e91ce0ba1197723bcef2a44	115.0	167.0	115.0	65.0	46.0	77.0	30.0	245.0	161.0	15.0	17.0	13.0
0c3104ecef000d12c46c092ad6325fd5	0.0	228.0	634.0	21.0	9.0	24.0	0.0	0.0	148.0	0.0	0.0	0.0
caa89efcdf40e083642c16ea1184c334	32.0	0.0	0.0	11.0	222.0	209.0	347.0	170.0	11.0	23.0	12.0	25.0
4fd952db1056e1588390cc62e351a2cc	39.0	106.0	74.0	0.0	34.0	38.0	23.0	237.0	427.0	22.0	37.0	19.0
8213180e4600e89363663b7c8f26647a	97.0	0.0	0.0	71.0	203.0	7.0	110.0	0.0	33.0	57.0	357.0	117.0
614671231125a1be0fa480e49cdbb100	375.0	15.0	8.0	82.0	50.0	177.0	54.0	96.0	22.0	45.0	73.0	45.0
7b363e6861bea25e57d9e299c792af2a	61.0	49.0	119.0	116.0	128.0	27.0	152.0	18.0	0.0	0.0	130.0	237.0
d2556f6bc82d837c929e6e7b0e9ed9ad	135.0	0.0	0.0	131.0	198.0	129.0	158.0	132.0	137.0	0.0	0.0	0.0
d9f8aa2800e892c4e326b516daf801a1	0.0	0.0	1003.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a2006d565377a843499ed77d454ccad7	93.0	101.0	164.0	29.0	15.0	44.0	8.0	87.0	365.0	51.0	23.0	21.0
c115ba9d1e929ad229f2e7cf343c367b	137.0	28.0	11.0	19.0	25.0	22.0	0.0	34.0	587.0	91.0	39.0	7.0
fda512e55247d302c70526958bcadac3	101.0	149.0	74.0	21.0	22.0	11.0	18.0	240.0	277.0	40.0	27.0	0.0
2f98e8802174e3e65ce0c1474a771193	75.0	120.0	105.0	58.0	22.0	65.0	29.0	116.0	286.0	38.0	42.0	14.0
a4bcc6f73501f6293eca547d2a2459b7	222.0	0.0	23.0	130.0	109.0	190.0	67.0	87.0	0.0	15.0	57.0	69.0
e2f8ce14e94642af800a2b3f6e2f1b66	126.0	0.0	7.0	259.0	79.0	76.0	130.0	31.0	0.0	63.0	93.0	103.0
a81100d6ba25f8c0f04a662e2a1d0d1f	0.0	286.0	80.0	0.0	0.0	0.0	0.0	0.0	593.0	0.0	0.0	0.0
4c63b7e1bd4b1f87a3cdfa308fcab99b	169.0	0.0	0.0	78.0	84.0	339.0	101.0	34.0	0.0	0.0	29.0	117.0
bbc77a92b0125d5e41d5bd2947cb2f9a	0.0	168.0	335.0	56.0	0.0	21.0	41.0	0.0	0.0	0.0	0.0	322.0
06d49c0dea0f2972c912186a1f1dc540	408.0	283.0	0.0	94.0	0.0	63.0	0.0	0.0	88.0	0.0	0.0	0.0
2b4c1046976a1afa11f1c433e5aae41c	97.0	223.0	96.0	54.0	24.0	36.0	24.0	139.0	180.0	34.0	0.0	21.0
71582281edf705eb59a48c1a50e59a86	92.0	150.0	42.0	101.0	46.0	73.0	30.0	176.0	178.0	28.0	10.0	0.0
df897944f2068b1208d4d23a09dee291	394.0	0.0	0.0	43.0	214.0	59.0	132.0	0.0	0.0	0.0	35.0	33.0
76255dbd18975e3134388f6a93ed18d1	0.0	0.0	0.0	699.0	0.0	0.0	177.0	0.0	0.0	26.0	0.0	0.0
688a3b370cc3fc6bf2967348885980d2	0.0	359.0	153.0	0.0	0.0	0.0	0.0	47.0	334.0	0.0	0.0	0.0
5b4be9932221ef0b257792d7fc833956	0.0	611.0	0.0	0.0	0.0	0.0	0.0	0.0	278.0	0.0	0.0	0.0
f08ed905d9eca754985103c1515fc61f	0.0	305.0	124.0	0.0	0.0	0.0	0.0	48.0	412.0	0.0	0.0	0.0
7e50f607841923b0a33dd9bf7a26b62c	209.0	152.0	154.0	89.0	15.0	97.0	51.0	0.0	39.0	0.0	20.0	45.0
815179bd5790d73244b2966c75159883	0.0	332.0	57.0	0.0	0.0	0.0	0.0	15.0	467.0	0.0	0.0	0.0
f2a6e1a43c2136a41d7a763d6412b6b1	0.0	47.0	41.0	0.0	21.0	8.0	29.0	255.0	438.0	19.0	0.0	0.0
0fe3b2c9470380c0beaf03372a2ea24d	206.0	0.0	0.0	97.0	118.0	58.0	39.0	139.0	0.0	61.0	92.0	44.0
ba24dd509d7c877f0cac4f6523d4c80a	0.0	211.0	104.0	12.0	9.0	0.0	129.0	121.0	232.0	0.0	0.0	36.0
ab724dae230a8894d6940d174fc80ae7	147.0	0.0	0.0	82.0	47.0	152.0	50.0	127.0	0.0	165.0	80.0	0.0
