Feature.ID,kingdom,phylum,class,order,family,genus,species,BS1,BS2,BS3,BW1,BW2,BW3,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3
97f83e381bd05e6b0dc0eae8402bf1b4,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Fluviicola,"",0,0,0,56,111,54,,,,,,,,,,,,
09e941a637a7c8284e4e84853cf5b804,d__Bacteria,"","","","","","",0,0,3,0,0,0,,,,,,,,,,,,
a5b00973ff8153584bd5ec6a3b105f51,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011_GWC1_47_15,g__GW2011_GWC1_47_15,s__uncultured_archaeon,0,0,0,0,12,0,,,,,,,,,,,,
84b4cde6efabbd964a68a9ef6e81ad29,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__uncultured,"",0,0,0,0,0,46,,,,,,,,,,,,
a5c1695d4f67012fd7eb777ca17138d5,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,"",0,0,1294,0,0,0,,,,,,,,,,,,
44acefc539f480a2c7d5182d05d4d06a,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Altererythrobacter,"",0,27,0,0,0,0,,,,,,,,,,,,
eb22cc76d6af9469a959a2c983ee518c,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pirellula,"",42,94,84,0,0,0,,,,,,,,,,,,
e69b9a0bcd40af24aeaa79143f1af807,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,"","",0,0,3,0,0,0,,,,,,,,,,,,
24972be52e76b155e43e5a761abf62b2,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__metagenome,0,0,0,0,12,0,,,,,,,,,,,,
2c5c2f1321ef74a6a81b1d2b64808b1a,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Cytophaga_sp.,31,14,0,0,0,0,,,,,,,,,,,,
fec6d4dcc3b1bc1c2d7e1de17b5442d8,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,"",15,0,0,540,400,319,,,,,,,,,,,,
48cade213d3a978b6f4b483e8612df22,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,s__Verrucomicrobium_sp.,0,24,3,0,0,0,,,,,,,,,,,,
475ad931d687935d540d730cd069d331,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,"","","","",8,26,186,0,0,0,,,,,,,,,,,,
dd8d210398776e1c7a9901711bdba61a,d__Bacteria,p__Armatimonadota,c__uncultured,o__uncultured,f__uncultured,g__uncultured,s__uncultured_soil,0,0,3,0,0,0,,,,,,,,,,,,
36a65ab4f85a70f03b6c6f9f5e12cfc4,d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Candidatus_Nomurabacteria,f__Candidatus_Nomurabacteria,g__Candidatus_Nomurabacteria,s__uncultured_bacterium,0,0,0,0,5,7,,,,,,,,,,,,
9e9b40895dd65db25db7cbff94df2c16,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__TPD-58,s__uncultured_bacterium,22,0,23,0,0,0,,,,,,,,,,,,
8d32cb7d685931e9669b78d2cde217c5,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Polymorphobacter,"",657,376,238,0,0,0,,,,,,,,,,,,
a21c23d6afbef4819e0da77eb4fa7fa5,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Mitochondria,g__Mitochondria,s__Micractinium_conductrix,0,24,3,0,0,0,,,,,,,,,,,,
36e61350f3340bfcdfd81e8345684d27,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Paracoccus,"",30,189,0,0,0,0,,,,,,,,,,,,
c9dc40053991b3527497ab23d2e72fbd,d__Bacteria,p__Firmicutes,c__Clostridia,o__Christensenellales,f__Christensenellaceae,g__Christensenellaceae_R-7_group,s__iron-reducing_bacterium,0,0,3,0,0,0,,,,,,,,,,,,
d93b123098236d27ea93bd41fa983e3b,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Larkinella,"",0,0,0,0,2,10,,,,,,,,,,,,
